Frequency (Hz),Payload
10,00110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10110001
10,10111001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
11,10110001
12,10111001
12,10110001
12,10110001
12,10110001
12,10110001
12,10111001
12,10110001
12,10110001
12,10110001
12,10110001
12,10110001
12,10111001
12,10110001
12,10110001
12,10110001
12,10110001
12,10110001
12,10110001
12,10110001
12,10110001
13,10110001
13,10110001
13,10110001
13,10110001
13,10110001
13,10110001
13,11110001
13,10110001
13,10110001
13,10110001
13,11110001
13,10110001
13,10111001
13,10110001
13,10110001
13,10010001
13,10110001
13,10110001
13,10110001
13,10010001
14,00110001
14,11110001
14,10110001
14,10111001
14,10100001
14,10110000
14,10110001
14,10010001
14,11110001
14,10110001
14,00110001
14,10111001
14,101101
14,10110001
14,10010001
14,10110001
14,110001
14,10110001
14,00110001
14,10110001
15,11110001
15,10110001
15,10110001
15,10010001
15,10111001
15,101001
15,10110001
15,110001
15,11110011
15,00110001
15,10010001
15,10110001
15,10110001
15,10110001
15,11110001
15,10110001
15,10110001
15,10110001
15,10111001
15,10110001
16,10110001
16,00010001
16,10110001
16,10111001
16,00100001
16,10110000
16,10011011
16,111001
16,10110001
16,00010001
16,101101
16,10110001
16,10010000
16,10110001
16,10110001
16,00010001
16,1001
16,10110001
16,00010000
16,111001
17,10011001
17,1000
17,11111001
17,10110011
17,00011001
17,011001
17,11110001
17,10110001
17,10110001
17,00011001
17,11110000
17,10110001
17,10111001
17,00011001
17,111001
17,11111001
17,10110011
17,10011001
17,00011001
17,11110001
18,000101
18,00010001
18,00010000
18,10010001
18,10110000
18,10110001
18,00111001
18,011000
18,10111001
18,10111001
18,10011001
18,100001
18,000001
18,011001
18,01110001
18,010001
18,110001
18,100001
18,10110001
18,10110000
19,10010011
19,110001
19,01110001
19,10010001
19,11111001
19,11111000
19,10110000
19,10010001
19,10010001
19,11111001
19,01110001
19,10110001
19,100011
19,10111000
19,00110001
19,01110001
19,10111000
19,10110001
19,100001
19,11010011
20,11110000
20,10111001
20,10010000
20,01111000
20,10110001
20,10010000
20,10111001
20,10010001
20,01111000
20,100001
20,100000
20,10110001
20,011001
20,110100
20,01111001
20,10111001
20,100000
20,00111001
20,10010000
20,01110000
21,10010001
21,10010000
21,10011000
21,11111011
21,111000
21,10111001
21,011001
21,01111000
21,01111010
21,01111010
21,00111010
21,01111010
21,01110001
21,01110000
21,01110001
21,110100
21,111000
21,110000
21,10000001
21,10010011
22,011101
22,111000
22,011101
22,11111000
22,01010001
22,111001
22,10010001
22,111001
22,110000
22,11111001
22,01110001
22,10011001
22,01110001
22,101001
22,00111001
22,00110001
22,10011001
22,101001
22,11110010
22,01110001
23,001001
23,01110000
23,01110001
23,100011
23,011101
23,01110001
23,00100000
23,001101
23,01110000
23,111001
23,10111000
23,111001
23,111001
23,10111000
23,111001
23,101001
23,10111000
23,11111001
23,10011001
23,10111010
24,101001
24,01110000
24,101000
24,10110001
24,111000
24,01110001
24,010100
24,11111001
24,11111001
24,01110000
24,01111001
24,11110001
24,01011001
24,10011001
24,110010
24,01111001
24,101000
24,01110001
24,10111001
24,00110001
25,11110001
25,111001
25,1000
25,01011001
25,10011001
25,01011000
25,01011000
25,000001
25,101010
25,100000
25,110001
25,111000
25,01011000
25,100001
25,11110001
25,00011001
25,00011000
25,01011000
25,000001
25,1010
26,01111001
26,00111001
26,101101
26,10100
26,001011000
26,011010
26,110001
26,01010001
26,101001
26,10011001
26,00011001
26,01010000
26,10100010
26,111000
26,01011001
26,01000001
26,110001
26,1101
26,10011001
26,01011000
27,011001
27,10111000
27,111001
27,10000001
27,111101
27,011001
27,011001
27,10110001
27,01011001
27,111001
27,0111000101111001
27,110110
27,01111000
27,011000
27,1111000
27,01011010
27,1100
27,011010
27,011000
28,011001
28,011000
28,111001
28,111000
28,1100
28,011001
28,0110
28,00010011
28,111000
28,1100
28,1101
28,1101
28,0101
28,0101
28,001100
28,001100
28,0111
28,0110
28,0111
28,111100
29,111001
29,10000001
29,011100
29,111000
29,111000
29,111001010100
29,011100
29,111001
29,011001
29,0101
29,011000
29,111001
29,011001
29,011101
29,111000
29,1110010110
29,011001
29,111001
30,011000
30,00
30,011001
30,1001
30,111000000101
30,111010000101
30,110001
30,011000
30,0110
30,001000
30,000101
30,111000010101
30,111001
30,01011000
30,011001
30,111001011000
